id,staff_link,staff_text
24598,/team-sullivan-chevrolet-buick-gmc-in-collins-ms,ourteam
24599,/dealership/staff.htm,meetourteam
24600,/dealership/staff.htm,meetthestaff
24601,/sales,salesdepartment
24602,/staff,staff
24603,/meet-our-bilingual-staff,meetourbilingualstaff
24604,/meetourstaff.aspx,meetourstaff
24605,/dealership/staff.htm,meetourstaff
24606,/about-us/meet-our-staff,meetourstaff
24607,/meetourstaff.aspx,staff
24608,/staff,meettheteam
24609,/dealership/staff.htm,staff
24610,/staff.aspx,meetourstaff
24611,/staff,ourteam
24612,/meet-our-staff,meetthestaff
24613,/meet-our-staff,meetourstaff
24614,/team-stuckey-ford-subaru-in-altoona-pa,ourteam
24615,/about-us/meet-the-staff,meetthestaff
24616,/suite/?accountid=5204698&dealerid=134672,instoresalesstaffcreditapp
24617,/staff.,meetourstaff
24618,/watch?v=-8dtebqcjmg&feature=youtu.be,ourinformedknowledgablestaff
24619,/dealership/staff.htm,meetourmanagers
24620,/staff.,meetourcertifiedstaff
24621,/about-us/staff,ourstaff
24622,/dealership/staff.htm,meettheteam
24623,/dealership/sales-staff.htm,meetoursalesteam
24624,/spanish/about.htm,spanishspeakingstaff
24625,/meet-the-crew.htm,meetthebhcarsteam
24626,/about-us-original/staff,meetourstaff
24627,/team-payne-weslaco-ford-in-weslaco-tx,ourteam
24628,/dealership/staff.htm,salesstaff
24629,/meet-our-staff.htm,meetourstaff
24630,/landingpage_10,meetourstaff
24631,/dealership/staff.htm,ourteam
24632,/staff,meetourteam
24633,/team-bm-motorcars-in-rahway-nj,ourteam
24634,/sales-team.htm,salesteam
24635,/administrative-team.htm,adminteam
24636,/management-team.htm,managementteam
24637,/team-fenton-mazda-of-amarillo-in-amarillo-tx,ourteam
24638,/toyota-staff,meetourstaff
24639,/dealership/staff.htm,certifiedstaff
24640,/meet-our-staff.htm,meetthestaff
24641,/meet-our-sales-staff.htm,meetoursalesstaff
24642,/staff,ourstaff
24643,/meet-the-overturf-vw-kia-staff.htm,meetourstaff
24644,/miscpage,meetourstaff
24645,/about-us/staff,meetourstaff
24646,/team-baierl-toyota-in-cranberry-twp-pa,ourteam
24647,/dealership/staff-owner.htm,meetthestaff
24648,/meet-our-team-1.htm,meetourteam
24649,/sunnyside-staff.htm,sunnysidestaff
24650,/team-cole-automotive-group-in-southwest-mi,ourteam
24651,/--xstaff,meetourstaff
24652,/dealership/staff.htm,ourstaff
24653,/team-ec-cars-in-burleson-tx,ourteam
24654,/meet-the-staff.htm,meetourstaff
24655,/staff.htm,ourstaff
24656,/dealership/staff.htm,salesteam
24657,/staff.aspx,salesstaff
24658,/team-fairway-mazda-in-savannah-ga,ourteam
24659,/our-team,ourteam
24660,/dealership/staff.htm,nysalesstaff
24661,/staff.aspx,team
24662,/polish-staff.html,mwimypopolsku
24663,/pre-owned-sales-staff.htm,preownedsalesstaff
24664,/staff.htm,meetthestaff
24665,/staff,meetourstaff
24666,/team-boucher-volkswagen-franklin-in-franklin-wi,meetourstaff
24667,/departments.htm,departments
24668,/dealership/staff.htm,team
24669,/sales-staff.htm,salesstaff
24670,/support-staff.htm,supportstaff
24671,/dealership/staffs.htm,meetthestaff
24672,/meet-our-staff.htm,meetourteam
24673,/dealership/staff.htm,salespeople
24674,/staff,meetthestaff
24675,/gurley-leep-audi-staff.htm,meetourstaff
24676,/meet-our-team.htm,meetourteam
24677,/about-us/staff,meetourcarguides
24678,/team-pohanka-volkswagen-of-salisbury-in-salisbury-md,ourteam
24679,/departments.html,departments
24680,/hileysoftballteam.htm,meetourhileysoftballteam
24681,/team-onion-creek-volkswagen-in-austin-tx,ourteam
24682,/meetourdepartments_d,ourteam
24683,/meetourdepartments_d,meetourstaff
24684,/team-jaguar-sacramento-in-sacramento-ca,ourteam
24685,/team-jaguar-sacramento-in-sacramento-ca,meetourteam
24686,/dealership/staff.htm,ourfamily
24687,/retail-staff.htm,retailstaff
24688,/internet-staff.htm,internetstaff
24689,/business-office.htm,businessofficestaff
24690,/sales-staff.htm,meetthesalesstaff
24691,/subaru-master-technician-josh-fee-and-west-delaware-high-school-a-team.htm,westdelawarehighschoolateam
24692,/content/jackson-ms-area-dealership-salaried-pay-plan.htm,noncommissionedsalesstaff
