id,category,sub_category,criteria_term,response_term,mth_name,created_at,updated_at
24,find_page,loc_text,general,locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
25,find_page,loc_text,general,map & location,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
26,find_page,loc_text,general,our locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
27,find_page,loc_text,general,store locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
47,find_page,staff_text,general,departments,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
48,find_page,staff_text,general,management,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
59,find_page,staff_text,general,staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
61,find_page,staff_text,general,team,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
62,find_page,loc_href,general,dealerlocations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
63,find_page,loc_href,general,locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
64,find_page,loc_href,general,locations-and-directions,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
65,find_page,loc_href,general,locations-ca-az-nv,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
66,find_page,loc_href,general,maplocation,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
68,find_page,loc_href,general,our-stores,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
69,find_page,loc_href,general,store-locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
71,find_page,loc_text,general,dealer locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
73,find_page,loc_text,general,automotive locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
74,find_page,loc_text,general,hours locations and directions,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
76,find_page,loc_href,general,dealer-locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
80,find_page,loc_text,general,service center locations,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
82,staffer,job_titles,Vice President,Vice President,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
3,find_page,staff_text,Dealer Inspire,staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
5,find_page,staff_text,Cobalt,staff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
7,find_page,staff_text,DealerFire,meetthestaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
8,find_page,staff_text,DealerFire,ourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
9,find_page,staff_text,Cobalt,meetourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
10,find_page,staff_text,Cobalt,meetthestaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
18,find_page,staff_text,Dealer Inspire,meetourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
19,find_page,staff_text,Dealer Inspire,ourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
23,find_page,staff_text,general,ourpeople,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
41,find_page,staff_text,general,theporscheteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
46,find_page,staff_text,general,corporateteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
49,find_page,staff_text,general,meetourmanagers,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
50,find_page,staff_text,general,meetoursalesstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
51,find_page,staff_text,general,meetoursalesteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
52,find_page,staff_text,general,meetourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
53,find_page,staff_text,general,meetourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
54,find_page,staff_text,general,meetourteams,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
55,find_page,staff_text,general,meetthestaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
56,find_page,staff_text,general,ourstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
57,find_page,staff_text,general,ourteam,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
58,find_page,staff_text,general,salesstaff,,2018-01-10 04:37:00 UTC,2018-02-27 04:00:06 UTC
