act_name,street,city,state,zip,phone,url
AutoNation Inc.,200 S.W. 1st Ave.,Fort Lauderdale,FL,33301,(954) 769-7000,www.autonation.com
Penske Automotive Group Inc.,2555 Telegraph Road,Bloomfield Hills,MI,48302,(248) 648-2500,www.penskeautomotive.com
Group 1 Automotive Inc.,"800 Gessner, Ste. 500",Houston,TX,77024,(713) 647-5700,www.group1auto.com
Lithia Motors Inc.,150 N. Bartlett St.,Medford,OR,97501,(541) 776-6401,www.lithia.com
Sonic Automotive Inc.,4401 Colwick Road,Charlotte,NC,28211,(704) 566-2400,www.sonicautomotive.com
Hendrick Automotive Group,6000 Monroe Road,Charlotte,NC,28212,(704) 568-5550,www.hendrickauto.com
Asbury Automotive Group Inc.,"2905 Premiere Parkway, Ste. 300",Duluth,GA,30097,(770) 418-8200,www.asburyauto.com
Ken Garff Automotive Group,"405 S. Main, Ste. 1200",Salt Lake City,UT,84111,(801) 257-3400,www.kengarff.com
Staluppi Auto Group,133 U.S. Hwy. One,North Palm Beach,FL,33408,(561) 844-7148,www.atlanticautogroup.net
Larry H. Miller Dealerships,"9350 S. 150 E., Ste. 500",Sandy,UT,84070,(801) 304-4900,www.lhmauto.com
Greenway Automotive,9001 E. Colonial Drive,Orlando,FL,32817,(407) 275-3200,www.greenway.com
David Wilson Automotive Group,1400 N. Tustin,Orange,CA,92867,(714) 516-3111,www.wilsonautomotivegroup.net
Keyes Automotive Group,5855 Van Nuys Blvd.,Van Nuys,CA,91401,(818) 907-4456,www.keyescars.com
Jim Koons Automotive Cos.,2000 Chain Bridge Road,Vienna,VA,22182,(703) 448-7000,www.koons.com
Suburban Collection,1795 Maplelawn,Troy,MI,48084,(248) 519-9700,www.suburbancollection.com
Holman Automotive Group Inc.,4001 Leadenhall Hall Road P.O. Box 5004,Mt. Laurel,NJ,8054,(856) 663-5200,www.holmanauto.com
Herb Chambers Cos.,259 McGrath Hwy.,Somerville,MA,2143,(617) 666-8333,www.herbchambers.com
The CAR Group,20322 S.W. Acacia St.,Newport Beach,CA,92660,(562) 809-3705,www.thecargroup.com
Victory Automotive Group,46352 Michigan Ave.,Canton,MI,48188,(734) 495-3500,www.victoryautomotivegroup.com
Serra Automotive Inc.,3118 E. Hill Road,Grand Blanc,MI,48439,(810) 694-1720,serrausa.com
Earnhardt Auto Centers ,7300 W. Orchid Lane,Chandler,AZ,85226,(480) 893-0000,www.earnhardt.com
West-Herr Automotive Group Inc.,3552 Southwestern Blvd.,Orchard Park,NY,14127,(716) 926-7052,www.westherr.com
Potamkin Automotive Group Inc.,5800 N.W. 171st,Miami Lakes,FL,33015,(305) 779-4061,www.planetautomotive.com
