act_name,city,state
Dave Smith Motors,Kellogg,ID
Fletcher Jones Motorcars,Newport Beach,CA
Braman Motorcars,West Palm Beach,FL
"Classic Chevrolet, Inc.",Grapevine,TX
Al Serra Auto Plaza,Grand Blanc,MI
Rusnak/Pasadena,Pasadena,CA
Braman Motors,Miami,FL
Crevier BMW/MINI,Santa Ana,CA
Rusnak/Westlake,Thousand Oaks,CA
Jim Koons - Tysons GM/Chrysler,Vienna,VA
Rick Case Automall Davie,Davie,FL
Courtesy Chevrolet - Phoenix,Phoenix,AZ
Jim Koons - Tyson‰Û¡ÌÝå»s Toyota,Vienna,VA
Al Hendrickson Toyota,Coconut Creek,FL
Rick Case Honda,Davie,FL
Findlay Toyota,Henderson,NV
Ray Catena Motor Car,Edison,NJ
"Brickell Honda, Buick, GMC & Mazda",Miami,FL
BMW/MINI of San Diego,San Diego,CA
Rick Case Mazda Hyundai Kia and Audi,Duluth,GA
Herb Chambers Lexus,Sharon,MA
BMW/MINI of Austin,Austin,TX
Downtown LA Motors Mercedes,Los Angeles,CA
Warren Henry Jaguar/Land Rover North Dade,Miami,FL
United BMW Gwinnett,Duluth,GA
South Bay Ford Lincoln,Hawthorne,CA
Motorwerks BMW/MINI,Bloomington,MN
"Fitzgerald Auto Mall - Gaithersburg, MD",Gaithersburg,MD
Hudson Toyota Scion,Jersey City,NJ
"Michael Cadillac, Inc.",Fresno,CA
Universal Toyota,San Antonio,TX
BMW/MINI North Scottsdale,Phoenix,AZ
Red McCombs Ford,San Antonio,TX
United BMW Roswell,Roswell,GA
Rick Case Acura Hyundai,Ft. Lauderdale,FL
Audi Beverly Hills,Beverly Hills,CA
Hendrick BMW,Charlotte,NC
Toyota of Pharr,Pharr,TX
Braman Honda,Miami,FL
Herb Chambers BMW/Mini of Boston,Boston,MA
Big Two Toyota of Chandler,Chandler,AZ
Rick Hendrick Chevrolet,Duluth,GA
"Earnhardt‰Û¡ÌÝå»s Gilbert Dodge, Inc.",Gilbert,AZ
Gwinnett Place Honda,Duluth,GA
Bommarito Buick-GMC-Audi-Mazda-Infiniti,Ellisville,MO
Rusnak/Arcadia,Arcadia,CA
Fred Anderson Toyota,Raleigh,NC
Performance Automall,Chapel Hill,NC
Kuni BMW,Beaverton,OR
Audi Stevens Creek,San Jose,CA
Hendrick Honda,Charlotte,NC
Peoria Kia,Peoria,AZ
"Earnhardt Enterprises, Inc.",Mesa,AZ
Northside Ford,San Antonio,TX
Toyota Direct,Columbus,OH
Central Florida Toyota Scion,Orlando,FL
Atlanta Toyota Scion,Duluth,GA
Red McCombs Toyota,San Antonio,TX
"Criswell Chevrolet, Inc.",Gaithersburg,MD
Herb Chambers Flagship Motorcars,Lynnfield,MA
Mercedes-Benz SMART of San Diego,San Diego,CA
Rock Honda,Fontana,CA
Honda World,Westminster,CA
BMW of Pembroke Pines,Pembroke Pines,FL
Greenway Ford,Orlando,FL
Aristocrat Motors,Merriam,KS
Hendrick Lexus Charlotte,Charlotte,NC
Wilde Toyota,West Allis,WI
Mullinax Ford of Central Florida,Apopka,FL
McCombs Ford West,San Antonio,TX
Jim Koons - Baltimore Ford,Baltimore,MD
Toyota of Downtown LA,Los Angeles,CA
Larry H. Miller Chrysler Jeep Dodge Ram Sandy,Sandy,UT
Mercedes-Benz of Greenwich,Greenwich,CT
Hendrick Toyota Scion Apex,Apex,NC
Ray Catena Mercedes Benz of Union,Union,NJ
Lauderdale BMW of Ft. Lauderdale,Ft. Lauderdale,FL
Greenway Chrysler Jeep Dodge Ram,Orlando,FL
"Phil Long Ford of Denver, LLC",Denver,CO
Mercedes-Benz of Ontario,Ontario,CA
Lexus of Pleasanton,Pleasanton,CA
Peter Pan BMW,San Mateo,CA
Gillman Honda South,Houston,TX
Park Auto Group,Akron,OH
Fletcher Jones Imports,Las Vegas,NV
Puente Hills Toyota,City of Industry,CA
Wilde Honda,Waukesha,WI
Larry H. Miller Ford Lincoln Sandy,Sandy,UT
"Billy Navarre Chevrolet, Cadillac and Honda",Lake Charles,LA
Chapman BMW on Camelback,Phoenix,AZ
BMW of Tenafly,Tenafly,NJ
Piercey Toyota,Milpitas,CA
Herb Chambers Mercedes-Benz of Boston,Somerville,MA
Mercedes-Benz of Chicago,Chicago,IL
Findlay Chevrolet,Las Vegas,NV
Fletcher Jones Motorcars of Fremont,Fremont,CA
BMW of Mt. Laurel,Mt. Laurel,NJ
Round Rock Toyota Scion,Round Rock,TX
Bob Baker Chrysler Jeep Dodge Mazda,Carlsbad,CA
Kuni Lexus of Portland,Portland,OR
Rightway Automotive Credit,Saginaw,MI
Ed Morse Sawgrass Auto Mall,Sunrise,FL
East Bay BMW,Pleasanton,CA
Ray Catena Lexus of Freehold,Freehold,NJ
Capitol Toyota,San Jose,CA
Honda Marysville,Marysville,OH
Jim Koons - Sterling Ford,Sterling,VA
Wilde Lexus of Sarasota,Sarasota,FL
Zeigler Chrysler Dodge Jeep - Schaumburg,Schaumburg,IL
Larry H. Miller Dodge Ram Avondale,Avondale,AZ
Coral Springs Honda,Coral Springs,FL
Hendrick Toyota Scion Wilmington,Wilmington,NC
Honda of Concord,Concord,NC
Serra Buick-GMC-Cadillac-KIA - Romeo,Washington,MI
Chapman BMW I-10,Chandler,AZ
Fox Ford Mazda,Grand Rapids,MI
Fred Anderson Toyota of Charleston,Charleston,SC
Penske Honda,Indianapolis,IN
Ray Catena BMW/Mini,White Plains,NY
