cop,act_name,street,city,state,zip,phone,url
TRUE,#1 Brookville Chevrolet-Buick,30 Main St,Brookville,PA,15825-1613,(814) 849-8313,www.brookvillegmdealer.com
TRUE,#1 Cochran Automotive,4250 William Penn Highway,Monroeville,PA,15146,412.373.3333,www.cochran.com
TRUE,#1 Cochran Chrysler Dodge Jeep Ram,110 Route 908 Unit C,Natrona Heights,PA,15065,(724) 295-5000,www.cochranchryslerdodgejeepram.com
TRUE,#1 Cochran Hyu Of South Hills,2770 West Liberty Avenue,Pittsburgh,PA,15216,412-343-3200,www.cochranhyundaipittsburgh.com
TRUE,#1 Cochran Hyundai,4520 William Penn Highway,Monroeville,PA,15146,412-374-1111,www.cochranhyundaimonroeville.com
TRUE,#1 Cochran Kia Of Robinson Twp,5200 Campbells Run Road,Pittsburgh,PA,15205,412-788-4444,www.cochran.com
TRUE,#1 Cochran Of Robinson Township,5200 Campbells Run Rd,Pittsburgh,PA,15205-9736,(412) 788-4444,www.cochranofrobinson.com
TRUE,#1 Cochran Subaru,4520 William Penn Highway,Monroeville,PA,15146,(888) 881-6107,www.cochransubaru.com
TRUE,#1 Jeff D'Ambrosio Dodge Chrysler Jeep in Downingtown,1221 E. Lancaster Ave,Downingtown,PA,19335,(888) 575-7147,www.jeffdambrosiochryslerjeepdodge.com
TRUE,101 Vermont Hyundai,200 N Vermont Avenue,Los Angeles,CA,90004,(213) 985-4145,www.101vermonthyundai.com
TRUE,112 Mitsubishi,2004 Route 112,Medford,NY,11763,(631)758-2277,www.112mitsubishi.com
TRUE,128 Volvo,614 North Avenue,Wakefield,MA,1880,781-224-3700,www.128volvo.com
TRUE,12k and Under Motors,3100 Lexington Road,Nicholasville,KY,40356,(888) 619-0119,www.12kandunder.com
TRUE,171 Nissan,18944 Johnny Hall Mem Hwy,De Ridder,LA,70634,337-463-2290,www.171NISSAN.COM
TRUE,1st Choice Motors,4799 South Amherst Hwy,Madison Heights,VA,24572,(888) 606-0278,www.my1stchoicemotors.com
TRUE,20th Century Chrysler Jeep Dodge,1090 Ford Way,Blackfoot,ID,83221-1668,2087851900,www.20thcenturychrysler.com
TRUE,20th Century Ford,1090 Ford Way,Blackfoot,ID,83221,(208) 785-1900,www.20thcenturyford.net
TRUE,2nd Chance Colorade,1320 Plum Valley Lane,Highlands Ranch,CO,80129,(877) 608-8496,www.2ndchancecolorado.com
TRUE,355 Scion,15625 Frederick Road,Rockville,MD,20855,(877) 490-6929,www.355scion.com
TRUE,355 Toyota,15625 Frederick Road,Rockville,MD,20855,3013400900,www.355toyota.com
TRUE,4 Good Wheels,4585 South Dupont Highway,Dover,DE,19901,866-846-0174,www.4goodwheels.com
TRUE,46 MITSUBISHI,400 Route 46 East,Totowa,NJ,7512,(888) 813-3742,www.mitsubishi46.com
TRUE,495 Chrysler Jeep Dodge Ram SRT,732 Rogers St,Lowell,MA,1852,(888) 356-9984,www.495chryslerjeepdodge.net
TRUE,5 Corners Dodge Chrysler Jeep,1292 Washington Avenue,Cedarburg,WI,53012-9304,2623753900,www.5cornersdodgechryslerjeep.net
TRUE,500 Automotive Chevrolet Buick GMC,1700 E State Rd 163,Clinton,IN,47842-7327,(765) 832-2421,www.500autogroup.com
TRUE,5280 Credit Acceptance,8303 W. Colfax Ave,Lakewood,CO,80214,(866) 753-4079,www.5280creditacceptance.com
TRUE,5liner.com,4101 State Street,Schenectady,NY,12304,(518) 382-0274,www.5liner.com
TRUE,802 Honda,224 Paine Turnpike N,Berlin,VT,5602,(888) 805-9712,www.802honda.com
TRUE,802 Scion,30 Berlin Mall Road,Berlin,VT,5602,(866) 414-2917,www.802scion.com
TRUE,802 Toyota,30 Berlin Mall Road,Berlin,VT,5602,8022299117,www.802toyota.com
TRUE,A & B Kia,100 Marshall St.,Benwood,WV,26031,(888) 357-8170,www.aandbautosales.com
TRUE,A & L BMW,3780 William Penn Hwy,Monroeville,PA,15146-2126,(412)373-6071,www.albmw.com
TRUE,"A & T Chevrolet, Inc.",801 Bethlehem Pike,Sellersville,PA,18960-1660,(215) 257-8022,www.atchevrolet.com
TRUE,A & T Subaru,801 Bethlehem Pike,Sellersville,PA,18960,(866) 952-2163,www.atsubaru.net
TRUE,A and T Chevrolet Subaru,801 Bethlehem Pike,Sellersville,PA,18960,(215) 257-8022,www.atautos.com
TRUE,A C Collins Ford Inc,"4242 E Sam Houston Parkway, South",Pasadena,TX,77505,(800) 681-8953,www.yourfordstore.com
TRUE,A Crivelli Subaru,768 Allegheny Blvd,Franklin,PA,16323,(877) 265-0357,www.acrivellisubaru.com
TRUE,A-1 Scion,50 Amity Road,New Haven,CT,6515,(866) 960-7360,www.a1scion.com
TRUE,A-1 Toyota,50 AMITY RD ,New Haven,CT ,6515, 877-726-3629,www.a1toyota.com
TRUE,A-F Motors,201 S Main Street,Adams,WI,53910,877-648-5914,www.afchevrolet.com
TRUE,A-P Super Service,338 N 3rd St,Rogers City,MI,49779-1307,9897342941,www.apchryslerdodge.com
TRUE,"A. C. Imports, Inc.",1410 W Northwest Hwy,Palatine,IL,60067-1837,8886892875,www.acimportsjaguar.net
TRUE,"A. Crivelli Buick Gmc, Inc.",1403 Allegheny Ave,Reno,PA,16343-0424,(814) 676-1829,www.acrivellibpg.com
TRUE,"A. Crivelli Chevrolet, Inc.",768 Allegheny Blvd,Franklin,PA,16323-6220,(814) 437-3068,www.acrivelli.com
TRUE,"A. Crivelli Ford, Inc.",797 Allegheny Blvd.,Franklin,PA,16323,(814) 437-3044,www.acrivelliford.com
TRUE,A. M. Maus And Son,21 Maus Drive,Kimball,MN,55353-1301,3203983210,www.ammausson.com
TRUE,"A.J. Dohmann Chevrolet Cadillac, Inc.",800 Robison Rd,Berwick,LA,70342-0000,(985) 385-3850,www.ajdohmannchevy.com
TRUE,A.J. Dohmann Chrysler,802 Robinson Dr,Berwick,LA,70342-3070,9853848070,www.ajdohmannchrysler.net
TRUE,ABC Collision Repair,1300 E Camelback Rd.,Phoenix,AZ,85014,1-877-247-7107,www.abccollisionrepair.com
