act_name,street,city,state,zip,url,phone
Carter Subaru,,,WA,98133,http://www.cartersubaru.com,
Liz Bagnell Auto Sales,,,,,http://www.lizbagnell.com,(707) 499-5098
Chevrolet Universidad ,,,,,http://www.chevroletuniversidad.com,170301-2017
Coughlin Circleville ,,,,,http://www.coughlincircleville.com,
Coughlin Newark,,,OH,43056,http://www.coughlinnewark.com,
"Crowne Group, LLC",,,,,http://www.crownegroupllc.com,
Drive MileOne,,,,,http://www.drivemileone.com,
Eagle Taptek,,,,,http://www.eagle-tool.com,(713) 221-1600
Cutter Mazda Honolulu,,,HI,96813,https://www.cuttermazdahonolulu.com,(808) 564-9900
Mega Mopar Action,,,,,http://www.megamoparaction.com,
Pompano Beach Mazda,,,FL,33069,http://www.drivepompano.com,(888) 821-6628
Tom Naquin Nissan,,,IN,46514,http://www.tomnaquinnissan.com,(574) 584-3328
Ryburn Automotive,,,AR,71655,http://www.ryburnautomotive.com,(888) 739-5353
#1 Brookville Chevrolet Buick,30 Main St,Brookville,PA,15825,http://www.brookvillegmdealer.com,(814) 849-8313
#1 Cochran,4520 William Penn Hwy,Monroeville,PA,15146,https://www.cochran.com,(412) 245-3070
#1 Cochran Buick GMC of Monroeville,4520 William Penn Hwy,Monroeville,PA,15146,http://www.cochranofmonroeville.com,(877) 304-9607
#1 Cochran Chrysler Dodge Jeep Ram,110 Rte 908,Natrona Heights,PA,15065,http://www.cochranchryslerdodgejeepram.com,(724) 295-5000
#1 Cochran Hyundai of South Hills,2770 W Liberty Ave,Pittsburgh,PA,15216,http://www.cochranhyundaipittsburgh.com,(877) 248-5283
#1 Cochran Mazda of Monroeville,4515 William Penn Hwy,Monroeville,PA,15146,http://www.cochranmazda.com,(877) 262-4726
#1 Cochran Nissan of South Hills,3200 W Liberty Ave,Pittsburgh,PA,15216,http://www.cochrannissanpittsburgh.com,(412) 343-3200
#1 Cochran Subaru,4520 William Penn Hwy,Monroeville,PA,15146,http://www.cochransubaru.com,(888) 881-6107
#1 Cochran Subaru of Butler County,340 New Castle Rd,Butler,PA,16001,http://www.cochransubarubutler.com,(888) 230-0996
"#62 Dodge City, KS - 400 E. Wyatt Earp, Dodge City, KS - Home",Meta Result,Meta Result,KS,67801,http://www.myloves62.com,(620) 225-0641
1 Star Motors,217 E Heron St,Aberdeen,WA,98520,http://www.1starmotors.com,(360) 533-7474
1 Stop Auto,6440 E Virginia Beach Blvd,Norfolk,VA,23502,http://www.my1stopauto.com,(757) 455-8600
"1 Stop Auto Shop, Inc. | Sherman IL & Chatham IL | Tires & Auto Repair",Meta Result,Meta Result,IL,62684,http://www.1stopautoshopinc.com,(217) 496-3535
101 Budget Auto Sales,1889 N Bayshore Dr,Coos Bay,OR,97420,http://www.101budgetauto.com,(541) 269-2529
101 European Automotive,421 N Hwy 101,Solana Beach,CA,92075,http://www.101europeanauto.com,(858) 345-1272
109 Auto Sales,726 NY-109,Lindenhurst,NY,11757,http://www.109autos.com,(631) 450-4435
112 Auto Sales,561 Medford Ave,Patchogue,NY,11772,http://www.112autosales.com,(631) 475-5980
112 Mitsubishi,2004 NY-112,Medford,NY,11763,http://www.112mitsubishi.com,(888) 864-2285
112 Superstore,2006 NY-112,Medford,NY,11763,http://www.nycarking.com,(631) 569-2120
114USED CAR SUPERSTORE,184 N Main St,Middleton,MA,1949,http://www.114usedcarsuperstore.com,(978) 774-3700
11th Street Auto Sales,1101 Ridge Ave,Philadelphia,PA,19123,http://www.11thstreetautosales.com,(215) 232-9700
12 Below Auto,18635 Forest Rd,Lynchburg,VA,24502,http://www.12belowauto.com,(877) 364-0797
123 Auto Sales LLC,3 Kemah Lake Rd,Branchville,NJ,7826,http://www.123autosalesnj.com,(973) 948-9905
123 Car Buying Auto Center,Upland CA,US,91786,,http://www.123carbuying.com,(310) 409-4606
1260 Auto Group - Bayfront Motors,1260 Kilauea Ave,Hilo,HI,96720,http://www.bayfrontmotors.com,(808) 961-3400
128 Volvo,614 North Ave,Wakefield,MA,1880,http://www.128volvo.com,(877) 462-2050
12k and Under Motors,3100 Lexington Rd,Nicholasville,KY,40356,http://www.12kandunder.com,(888) 619-0119
171 Nissan,18944 Johnnie B Hall Memorial Hwy,DeRidder,LA,70634,http://www.171nissan.com,(337) 463-2290
1st Avenue Auto Sales,444 Main St S,Cambridge,MN,55008,http://www.1stavenueautosales.com,(763) 691-1001
1st Choice Auto Center,13731 Harbor Blvd,Garden Grove,CA,92843,http://www.1stchoiceautocenter.com,(714) 530-5333
1st Choice Auto Sales Newport News | Car Sale | Used Car Sale | Used Car Dealer | Auto Sale,11306 Jefferson Ave,Newport News,VA,23601,http://www.1choiceusedcars.net,(757) 679-2277
1st Choice Motors,4799 S Amherst Hwy,Madison Heights,VA,24572,http://www.my1stchoicemotors.com,(888) 606-0278
1st Class Auto Sales,2240 Maple Ave,Langhorne,PA,19047,http://www.1stclassautos.com,(215) 752-1700
1st Class European Authorized Coachworks,Meta Result,Meta Result,,,http://www.1stclassauto.com,(877) 380-6854
1st International Auto Group,475 Daniel Webster Hwy,Merrimack,NH,3054,http://www.1internationalautogroup.com,(603) 429-2999
2 J MOTOR CO.,I-27 Amarillo,TX,US,2536,https://www.2jmotor.com,(806) 622-9934
2002 AD,395 E Commercial St,Pomona,CA,91767,http://www.2002ad.com,(909) 629-1955
2006 Dodge Grand Caravan 4dr SXT,1540 Auto Mall Loop,Colorado Springs,CO,80920,http://www.coloradospringshyundai.com,(719) 722-2330
2013 Hyundai Elantra 4dr Sdn Man GLS,170 W Motor Way,Colorado Springs,CO,80905,http://www.hyundaicoloradosprings.com,(719) 387-9977
2015 Gentry Motors.,,,,,http://www.gentrymotors.com,(877) 629-0595
2015 Waikem.,,,,,http://www.waikem.com,(330) 476-2069
2016 Hyundai Elantra GT 5dr HB Auto,1793 Marion-Mt Gilead Rd,Marion,OH,43302,http://www.mathewseasthyundai.com,(740) 389-5560
2016 Hyundai Veloster,2060 Paxton St,Harrisburg,PA,17111,http://www.faulknerhyundaiharrisburg.com,(717) 303-3194
2016 Hyundai Veloster 3dr Cpe Auto,11500 Roosevelt Blvd,Philadelphia,PA,19116,http://www.faulknerhyundaiphilly.com,(215) 904-4200
2016 Prestige Auto Market.,2536 Auburn Way N,,WA,98030,http://www.prestigeautomarket.com,(253) 252-8440
2016 Ram 1500 2WD Quad Cab 6.4 Ft Box SLT,230 Hollywood Blvd SW,Fort Walton Beach,FL,32548,http://www.hamptonhyundai.com,(850) 855-4240
2017 38th Street Auto Outlet.,3430 S Tacoma Way,Tacoma,WA,98409,http://www.38thstreetautooutlet.com,(253) 473-1900
2017 Accent Value Edition Sedan..,755 I-45,Huntsville,TX,77340,http://www.huntsvillehasit.com,(888) 646-0457
2017 Accent Value Edition Sedan..,24050 Creekside Rd,Valencia,CA,91355,http://www.parkwayhyundaivalencia.com,(661) 731-4524
2017 Acura of Brookfield.,19180 W Bluemound Rd,Brookfield,WI,53045,http://www.acurabrookfield.com,(262) 232-6735
2017 Acura of Little Rock.,13701 David O Dodd Rd,Little Rock,AR,72210,http://www.acuraoflittlerock.com,(888) 285-3499
2017 Adams Toyota.,501 NE Colbern Rd,Lee's Summit,MO,64086,http://www.adamstoyota.com,(800) 510-3244
2017 Al Serra Auto.,,,,,http://www.alserra.com,(888) 804-6446
2017 Allentown Kia.,2350 Lehigh St,Allentown,PA,18103,http://www.allentownkia.com,(610) 628-3831
2017 Allstar Kia.,,,,,http://www.allstarkia.net,
2017 Aloha Group Site.,2841 N Nimitz Hwy,Honolulu,HI,96819,http://www.aaghi.com,(808) 664-0772
2017 Aloha Kia.,,,,,http://www.alohakia.com,(808) 664-0500
2017 Anderson Mazda.,6551 E State St,Rockford,IL,61108,http://www.driveandersonmazda.com,(866) 410-9697
2017 Anderson Mitsubishi.,224 N Alpine Rd,Rockford,IL,61107,http://www.driverockrivermitsubishi.com,(866) 750-9454
2017 Anderson Nissan.,6555 E State St,Rockford,IL,61108,http://www.driveandersonnissan.com,(866) 347-5027
2017 Anderson Toyota.,4100 N Perryville Rd,Loves Park,IL,61111,http://www.andersontoyota.com,(866) 311-2174
2017 Auburn Valley Kia.,3401 Auburn Way N,Auburn,WA,98002,http://www.auburnvalleykia.com,(877) 463-5947
2017 Auburn Valley Mitsubishi.,3317 Auburn Way N,Auburn,WA,98002,http://www.auburnvalleymitsubishi.com,(877) 904-2574
2017 Auburn Valley.,,,,,http://www.auburnvalleycars.com,(888) 456-6616
2017 Auto Buying Service.,2971 Prosperity Ave,Fairfax,VA,22031,http://www.autobuyingservice.com,(888) 655-5596
2017 Auto Giants.,4600 Branch Ave,Temple Hills,MD,20748,http://www.autogiants.com,(888) 918-6874
2017 Bakersfield Acura.,4625 Wible Rd,Bakersfield,CA,93313,http://www.bakersfieldacura.com,(661) 398-4260
2017 Baldwin Toyota.,801 S Westwood Blvd,Poplar Bluff,MO,63901,http://www.baldwintoyotaofpoplarbluff.com,(877) 481-0739
2017 Basney BMW.,52203 IN-933,South Bend,IN,46637,http://www.basneybmw.com,(574) 272-8504
2017 Basney Mazda.,52203 IN-933,South Bend,IN,46637,http://www.basneymazda.com,(574) 272-8504
2017 Bayside Auto Sales.,9815 Evergreen Way,Everett,WA,98204,http://www.baysideautosales.net,(425) 267-9777
2017 Bedrock Motors.,,,,,http://www.bedrockmotors.com,(763) 780-1010
2017 Bentley Northbrook.,100 Skokie Blvd,Northbrook,IL,60062,http://www.bentleynorthbrook.com,(888) 997-1810
2017 Best Car.,1960 51st Street NE,Cedar Rapids,IA,52402,http://www.bestcarincr.com,(319) 294-4440
2017 Bill Cole Auto Mall.,,,,,http://www.billcoleautomall.com,(888) 892-2143
2017 Bloomington Ford Lincoln.,2200 S Walnut St,Bloomington,IN,47401,http://www.bloomingtonford.com,(812) 331-2200
2017 BMW of Bloomfield.,425 Bloomfield Ave,Bloomfield,NJ,7003,http://www.bmwofbloomfield.com,(888) 399-7170
2017 BMW of Champaign.,100 Burwash Ave,Savoy,IL,61874,http://www.bmwofchampaign.com,(866) 437-0930
2017 BMW of Omaha.,716 N 102nd St,Omaha,NE,68114,http://www.bmwofomaha.com,(844) 216-0115
