act_name,street,city,state,zip,phone,url
101 Budget Auto Sales,1889 N Bayshore Dr,Coos Bay,OR,97420,(541) 269-2529,http://www.101budgetauto.com
101 European Automotive,421 N Hwy 101,Solana Beach,CA,92075,(858) 345-1272,http://www.101europeanauto.com
109 Auto Sales,726 NY-109,Lindenhurst,NY,11757,(631) 450-4435,http://www.109autos.com
112 Auto Sales,561 Medford Ave,Patchogue,NY,11772,(631) 475-5980,http://www.112autosales.com
112 Mitsubishi,2004 NY-112,Medford,NY,11763,(631) 758-2277,http://www.112mitsubishi.com
114USED CAR SUPERSTORE,184 N Main St,Middleton,MA,1949,(978) 774-3700,http://www.114usedcarsuperstore.com
11th Street Auto Sales,1101 Ridge Ave,Philadelphia,PA,19123,(215) 232-9700,http://www.11thstreetautosales.com
Sullivan Auto Group,111 Sunrise Ave,Roseville,CA,95661,(916) 788-8719,http://www.123autoapproval.com
123 Auto Sales LLC,3 Kemah Lake Rd,Branchville,NJ,7826,(973) 948-9905,http://www.123autosalesnj.com
128 Volvo,614 North Ave,Wakefield,MA,1880,(781) 224-3700,http://www.128volvo.com
12K And Under Motors,3100 Lexington Rd,Nicholasville,KY,40356,(859) 881-1000,http://www.12kandunder.com
Honda Cars of McKinney,601 S Central Expy,McKinney,TX,75070,(972) 905-4632,http://www.1431.ecarlist.com
171 Nissan,18944 Johnnie B Hall Memorial Hwy,DeRidder,LA,70634,(337) 463-2290,http://www.171nissan.com
The Thompson Organization,122 W Swamp Rd,Doylestown,PA,18901,(800) 846-6776,http://www.1800thompson.com
Autoland Toyota,170 US-22,Springfield Township,NJ,7081,(800) 288-6526,http://www.1800toyotaland.com
Mac Haik 1960 Pre-Owned,1831 FM 1960,Houston,TX,77090,(855) 702-4016,http://www.1960preowned.com
Champion Ford Volvo,2502 W 26th St,Erie,PA,16506,(814) 878-2500,http://www.1championford.com
1st Choice Auto Sales Newport News | Car Sale | Used Car Sale | Used Car Dealer | Auto Sale,11306 Jefferson Ave,Newport News,VA,23601,(757) 679-2277,http://www.1choiceusedcars.net
DuTeau Chevrolet,,Lincoln,NE,68512,(402) 420-3300,http://www.1duteau.com
1st International Auto Group,475 Daniel Webster Hwy,Merrimack,NH,3054,(603) 429-2999,http://www.1internationalautogroup.com
Kool Ford,31066 Lankford Hwy,Melfa,VA,23410,(757) 787-1209,http://www.1koolford.com
Moore Chrysler Dodge Jeep Ram,1305 US-96,Silsbee,TX,77656,(409) 385-3796,http://www.1mooregm.com
1 Star Motors,217 E Heron St,Aberdeen,WA,98520,(360) 533-7474,http://www.1starmotors.com
1st Avenue Auto Sales,444 Main St S,Cambridge,MN,55008,(763) 691-1001,http://www.1stavenueautosales.com
1st Choice Auto Center,13731 Harbor Blvd,Garden Grove,CA,92843,(714) 530-5333,http://www.1stchoiceautocenter.com
1st Class Auto Sales,2240 Maple Ave,Langhorne,PA,19047,(215) 752-1700,http://www.1stclassautos.com
1st Class Auto Sales,2240 Maple Ave,Langhorne,PA,19047,(215) 752-1700,http://www.1stclassautos.com
First Coast Auto Sales Inc,3552 W Beaver St,Jacksonville,FL,32254,(904) 783-1760,http://www.1stcoastauto.com
First Coast Auto Sales,1148 Cassat Ave,Jacksonville,FL,32205,(904) 695-9595,http://www.1stcoastauto.com
1st Honda of Simi Valley,2283 First St,Simi Valley,CA,93065,(805) 433-9526,http://www.1sthonda.com
1st Kia of Simi Valley,2081 First St,Simi Valley,CA,93065,(805) 433-9480,http://www.1stkia.com
1st Nissan of Simi Valley,2325 First St,Simi Valley,CA,93065,(805) 433-9436,http://www.1stnissan.com
1st Nissan of Simi Valley,2325 First St,Simi Valley,CA,93065,(805) 433-9436,http://www.1stnissan.com
One Stop Auto Sales,8750 N Co Rd 25A,Piqua,OH,45356,(937) 606-2806,http://www.1stopautonow.com
First Place Auto Center Inc,6650 Denton Hwy,Watauga,TX,76148,(817) 656-7770,http://www.1stplaceauto.com
2002 AD,395 E Commercial St,Pomona,CA,91767,(909) 629-1955,http://www.2002ad.com
20th Century Chrysler,1090 Ford Way,Blackfoot,ID,83221,(208) 785-1900,http://www.20thcenturychrysler.com
20th Century Ford Dodge,1090 Fordway,Blackfoot,ID,83221,(208) 785-1901,http://www.20thcenturyford.com
20th Century Ford Dodge,,Blackfoot,ID,83221,(208) 785-1900,http://www.20thcenturyford.com
20th Century Ford Dodge,1090 Ford way,Blackfoot,ID,83221,(208) 785-1900,http://www.20thcenturyforddodge.dealerconnection.com
21st Century Auto Group,305 US-22,Springfield Township,NJ,7081,(908) 360-9944,http://www.21centuryautogroup.com
21st Century Auto Group,305 US-22,Springfield Township,NJ,7081,(908) 360-9944,http://www.21centuryautogroup.com
220 Auto Sales,3481 US Hwy 220,Madison,NC,27025,(336) 548-6400,http://www.220autosalesllc.com
Route 23 AutoMall LLC,1301 NJ-23,Butler,NJ,7405,(973) 838-0800,http://www.23ford.com
