cop,act_name,street,city,state,zip,lat,lon,phone,url1,url2,brand1,brand2,brand3,brand4,brand5,brand6
TRUE,Axtell Taylor GM,1955 N  Main Street,Logan,UT,84341,41.768,-111.834,(888) 470-5760,www.axtelltaylorgm.net,,Cadillac,Chevrolet,Buick,GMC,,
TRUE,Miami Lakes Automall - Chevrolet Kia Dodge Chrysler Jeep Ram,16600 NW 57th Ave.,Miami Lakes,FL,33014,25.9240131,-80.2933044,,www.miamilakesautomall.com,,Chrysler,Jeep,Dodge,Chevrolet,Kia,RAM
TRUE,Fillback Chevy Buick Chrysler Dodge Jeep RAM,1702 Elm St,Boscobel,WI,53805,43.1284026,-90.7103002,6083755314,www.fillback.com,,Chrysler,Jeep,Dodge,Buick,Chevrolet,RAM
TRUE,Atlantic Audi West Islip,251 Sunrise Highway,West Islip,NY,11795,40.7207579,-73.302228,(888) 510-3997,www.nyaudi.com,www.atlanticaudiny.com,Audi,,,,,
TRUE,Audi Albuquerque,8900 Pan American FWY NE,Albuquerque,NM,87113,35.186246,-106.579449,(888) 511-6247,www.audiabq.com,www.albuquerqueaudinm.com,Audi,,,,,
TRUE,Audi Anchorage,935 Gambell St,Anchorage,AK,99501,61.2133,-149.871,9072725522,www.anchorageaudi.com,www.audiofanchorage.com,Audi,,,,,
TRUE,Audi Ann Arbor,2575 S State St,Ann Arbor,MI,48104,42.2492,-83.7389,7347613200,www.audiannarbor.com,,Audi,,,,,
TRUE,Audi Appleton,3023 N Victory Ln,Appleton,WI,54913,44.2915,-88.4702,9207493232,www.appletonaudi.com,,Audi,,,,,
TRUE,Audi Arlington,3200 Columbia Pike,Arlington,VA,22204,38.8616,-77.0904,7037397460,www.audiarlington.com,,Audi,,,,,
TRUE,Audi Asheville,621 Brevard Road,Asheville,NC,28806,35.5496,-82.5995,8282324000,www.audiasheville.com,,Audi,,,,,
TRUE,Audi Atlanta,5805 New Peachtree Rd,Atlanta,GA,30340,33.908,-84.2911,7704548200,www.audiatlanta.com,,Audi,,,,,
TRUE,Audi Auto Gallery,21301 Ventura Blvd,Woodland Hills,CA,91364,34.1679,-118.596,8189321689,www.autogalleryaudi.com,,Audi,,,,,
TRUE,Audi Bedford,19400 Rockside Rd,Bedford,OH,44146,41.4089,-81.5424,4402324700,www.bedfordaudioh.com,,Audi,,,,,
TRUE,Audi Bellevue,1533 120th Avenue NE,Bellevue,WA,98005,47.624826,-122.180711,(888) 854-7099,www.audibellevue.com,,Audi,,,,,
TRUE,Audi Bellingham,2200 Iowa St,Bellingham,WA,98229,48.7563,-122.447,3607345230,www.audibellingham.com,www.rogerjobsaudi.com,Audi,,,,,
TRUE,Audi Bend,1045 Se 3rd St,Bend,OR,97702,44.0404,-121.304,5413821711,www.kendallaudibend.com,www.audibend.com,Audi,,,,,
TRUE,Audi Beverly Hills,8850 Wilshire Blvd,Beverly Hills,CA,90211,34.0671,-118.385,4242815600,www.audibeverlyhills.com,,Audi,,,,,
TRUE,Audi Bloomington Normal,1430 Fort Jesse Rd,Normal,IL,61761,40.5178,-88.9631,3094541101,www.audibn.com,,Audi,,,,,
TRUE,Audi Boise,8400 Franklin Road,Boise,ID,83709,43.6050344,-116.2866103,(888) 592-9230,www.audiboise.com,,Audi,,,,,
TRUE,Audi Boulder,1799 Exposition Dr,Boulder,CO,80301,40.0174,-105.246,3034427007,www.audiboulder.com,,Audi,,,,,
TRUE,Audi Bridgewater,701 Route 202-206 North,Bridgewater,NJ,8807,40.5742,-74.6586,9088009000,www.audibridgewater.com,,Audi,,,,,
TRUE,Audi Brookline,308 Boylston St,Brookline,MA,2445,42.3301,-71.1247,6177342020,www.audibrookline.com,,Audi,,,,,
TRUE,Audi Brooklyn,665 65th St,Brooklyn,NY,11220,40.6343,-74.0153,7187483400,www.audibrooklyn.com,,Audi,,,,,
TRUE,Audi Burlingame,1010 Cadillac Way,Burlingame,CA,94010,37.5878538,-122.3619864,(888) 776-0827,www.rectoraudiofburlingame.com,www.audiburlingame.com,Audi,,,,,
TRUE,Audi Burlington,62 Cambridge St,Burlington,MA,1803,42.4914,-71.1927,7812728880,www.burlingtonaudima.com,www.audiburlington.com,Audi,,,,,
TRUE,Audi Cape Cod,270 North St,Hyannis,MA,2601,41.6514,-70.292,5088155600,www.audicapecod.com,,Audi,,,,,
TRUE,Audi Cape Fear,255 Old Eastwood Road,Wilmington,NC,28403,34.2434,-77.8622,9102024662,www.audicapefear.com,,Audi,,,,,
TRUE,Audi Cary,600 Auto Park Blvd,Cary,NC,27511,35.74,-78.8131,9194603800,www.audicary.com,,Audi,,,,,
TRUE,Audi Central Houston,2120 Southwest Freeway,Houston,TX,77098,29.731477,-95.411101,(866) 797-6741,www.momentumaudi.net,,Audi,,,,,
TRUE,Audi Chandler,7460 W Orchid Ln,Chandler,AZ,85226,33.3235,-111.971,4809410000,www.chandleraudiaz.com,www.audichandler.com,Audi,,,,,
TRUE,Audi Chantilly,14839 Stonecroft Center Court,Chantilly,VA,20151,38.898605,-77.462901,(888) 445-7759,www.audichantilly.com,,Audi,,,,,
TRUE,Audi Chattanooga,6001 International Dr,Chattanooga,TN,37421,35.0616,-85.1931,4238554981,www.chattanoogaaudi.com,www.audichattanooga.com,Audi,,,,,
TRUE,Audi Cincinnati East,8639 Beechmont Ave,Cincinnati,OH,45255,39.0719,-84.3151,5133883700,www.audicincinnatieast.com,,Audi,,,,,
TRUE,Audi Clarksburg,1 Stoneybrook Rd,Clarksburg,WV,26301,39.2742619,-80.3713089,(877) 790-6476,www.audiclarksburg.com,,Audi,,,,,
TRUE,Audi Columbia,6301 Two Notch Rd,Columbia,SC,29223,34.0569,-80.9723,8037866601,www.columbiaaudisc.com,www.audicolumbia.com,Audi,,,,,
TRUE,Audi Concord,1300 Concord Ave,Concord,CA,94520,37.979092,-122.049378,(888) 458-7125,www.audiconcord.com,,Audi,,,,,
TRUE,Audi Conshohocken,1312 W Ridge Pike,Conshohocken,PA,19428,40.103,-75.309,6102794100,www.conshohockenaudipa.com,www.audiconshohocken.com,Audi,,,,,
TRUE,Audi Coral Springs,5555 N State Road 7,Coral Springs,FL,33073,26.2972,-80.2024,9545098960,www.coralspringsaudifl.com,www.audicoralsprings.com,Audi,,,,,
TRUE,Audi Dallas,5033 Lemmon Ave,Dallas,TX,75209,32.8234,-96.8195,2145611800,www.dallasauditx.com,www.audidallas.com,Audi,,,,,
TRUE,Audi Dayton,648 North Springboro Pike,Dayton,OH,45449,39.6508,-84.2239,9372916000,www.whiteallenaudiofdayton.com,www.audidayton.com,Audi,,,,,
TRUE,Audi Denver,6060 South Broadway,Littleton,CO,80121,39.6065,-104.988,3037951100,www.audidenver.com,,Audi,,,,,
TRUE,Audi Des Moines,5190 Merle Hay Road,Johnston,IA,50131-1205,41.655142,-93.698768,(888) 319-8682,www.audiofdesmoines.com,www.audidesmoines.com,Audi,,,,,
TRUE,Audi Devon,222 W. Lancaster Ave.,Devon,PA,19333,40.0441,-75.4254,6103569000,www.audidevon.com,,Audi,,,,,
TRUE,Audi Dublin,5875 Venture Drive,Dublin,OH,43017,40.101,-83.1499,6148892571,www.audidublin.com,,Audi,,,,,
TRUE,Audi Eau Claire,5201 Fairview Dr,Eau Claire,WI,54701,44.7644,-91.4632,7158301111,www.audieauclaire.com,,Audi,,,,,
TRUE,Audi El Paso,1444 Airway Blvd,El Paso,TX,79925,31.7887,-106.395,9157781444,www.elpasoaudi.com,,Audi,,,,,
TRUE,Audi Erie,5711 Peach St,Erie,PA,16509,42.0702,-80.0929,8148640611,www.erieaudipa.com,www.audierie.com,Audi,,,,,
TRUE,Audi Escondido,1556 Auto Park Way,Escondido,CA,92029,33.1167,-117.109,7605206600,www.escondidoaudica.com,www.audiescondido.com,Audi,,,,,
TRUE,Audi Fairfield,435 Commerce Drive,Fairfield,CT,6825,41.1646663,-73.2305717,(888) 839-7671,www.audifairfield.com,,Audi,,,,,
TRUE,Audi Farmington Hills,37911 Grand River,Farmington Hills,MI,48335,42.467675,-83.420613,(866) 836-3723,www.audifarmingtonhills.com,,Audi,,,,,
TRUE,Audi Fort Myers,10050 Daniels Interstate Court,Fort Myers,FL,33913,26.5436,-81.793,2394157185,www.audifortmyers.com,www.fortmyersaudi.com,Audi,,,,,
TRUE,Audi Fort Wayne,5611 Illinois Rd,Fort Wayne,IN,46804,41.0739,-85.2157,2604355300,www.odanielaudioffortwayne.com,,Audi,,,,,
TRUE,Audi Fort Worth,116 University Dr,Fort Worth,TX,76107,32.7584,-97.3614,8176326700,www.audifortworth.com,,Audi,,,,,
TRUE,Audi Frederick,6001 Urbana Pike,Frederick,MD,21704,39.3985,-77.4078,3016627600,www.audifrederick.com,,Audi,,,,,
TRUE,Audi Freehold,3561 US Route 9,Freehold,NJ,7728,40.2378,-74.2742,7328108000,www.audifreehold.com,,Audi,,,,,
TRUE,Audi Fresno,7121 N Palm Ave,Fresno,CA,93650,36.8241,-119.791,5598604000,www.audifresno.com,,Audi,,,,,
TRUE,Audi Glenwood Springs,100 Riverine Road,Glenwood Springs,CO,81601,39.5607,-107.366,9709455200,www.audiglenwoodsprings.com,,Audi,,,,,
TRUE,Audi Grand Rapids,6025 28th St. SE,Grand Rapids,MI,49546,42.9132,-85.5194,6169889797,www.audigrandrapids.com,,Audi,,,,,
TRUE,Audi Greenville,200 Duvall Dr,Greenville,SC,29607,34.8127,-82.342,8642888300,www.audigreenville.com,www.stevewhiteaudi.com,Audi,,,,,
TRUE,Audi Gwinnett,3180 Satellite Blvd,Duluth,GA,30096,33.9612,-84.1166,6782582522,www.gwinnettaudiofduluth.com,www.audigwinnett.com,Audi,,,,,
TRUE,Audi Hampton,2712 Magruder Blvd,Hampton,VA,23666,37.0614,-76.4007,7578658000,www.audihampton.com,,Audi,,,,,
TRUE,Audi Hawaii,2770 Waiwai Loop,Honolulu,HI,96819,21.3341,-157.901,8085856600,www.hawaiiaudiofhonolulu.com,www.audihawaii.com,Audi,,,,,
TRUE,Audi Henderson,7740 Eastgate Rd,Henderson,NV,89011,36.0466,-115.019,7029824600,www.audihenderson.com,,Audi,,,,,
TRUE,Audi Hilton Head,137 Auto Mall Blvd,Hardeeville,SC,29927,32.3133,-80.9853,8432880500,www.audihiltonhead.net,,Audi,,,,,
TRUE,Audi Hoffman Estates,1200 W Golf Rd,Hoffman Estates,IL,60169,42.048,-88.1105,8478439900,www.audihoffmanestates.com,,Audi,,,,,
TRUE,Audi Hunt Valley,9800 York Rd,Cockeysville,MD,21030,39.4593,-76.6345,4106667777,www.huntvalleyaudi.com,www.audihuntvalley.com,Audi,,,,,
